,0
index,5
流动资产,
货币资金,9457.209973
交易性金融资产,0.0
衍生金融资产,0.0
应收票据及应收账款,2.44455489
应收票据,0.0
应收账款,2.44455489
应收款项融资,0.0
预付款项,17.20142799
其他应收款(合计),58.90577804
应收利息,45.67305564
应收股利,0.0
其他应收款,13.2327224
买入返售金融资产,0.0
存货,1203.32831658
划分为持有待售的资产,0.0
一年内到期的非流动资产,0.0
待摊费用,0.0
待处理流动资产损益,0.0
其他流动资产,5068.67098084
流动资产合计,15807.76103134
非流动资产,
发放贷款及垫款,0.0
可供出售金融资产,0.1
持有至到期投资,0.0
长期应收款,0.0
长期股权投资,0.0
投资性房地产,6.12851063
在建工程(合计),252.30262651
在建工程,252.30262651
工程物资,0.0
固定资产及清理(合计),3745.50425381
固定资产净额,3745.50425381
固定资产清理,0.0
生产性生物资产,0.0
公益性生物资产,0.0
油气资产,0.0
使用权资产,0.0
无形资产,143.56660301
开发支出,0.0
商誉,32.26830351
长期待摊费用,0.0
递延所得税资产,144.61488552
其他非流动资产,11.542639
非流动资产合计,4336.02782199
资产总计,20143.78885333
流动负债,
短期借款,19.6
交易性金融负债,0.0
应付票据及应付账款,744.83979774
应付票据,67.28395325
应付账款,677.55584449
预收款项,3236.79302067
应付手续费及佣金,0.0
应付职工薪酬,480.01212736
应交税费,573.45224053
其他应付款(合计),1066.03416874
应付利息,0.0
应付股利,0.0
其他应付款,1066.03416874
预提费用,0.0
一年内的递延收益,0.0
应付短期债券,0.0
一年内到期的非流动负债,0.0
其他流动负债,27.48814349
流动负债合计,6148.21949853
非流动负债,
长期借款,0.0
应付债券,0.0
租赁负债,0.0
长期应付职工薪酬,0.0
长期应付款(合计),0.0
长期应付款,0.0
专项应付款,0.0
预计非流动负债,0.0
递延所得税负债,0.0
长期递延收益,107.74321429
其他非流动负债,0.0
非流动负债合计,107.74321429
负债合计,6255.96271282
所有者权益,
实收资本(或股本),2700.36934
资本公积,1330.66131139
减：库存股,0.0
其他综合收益,39.30996569
专项储备,0.0
盈余公积,1368.7602859
一般风险准备,0.0
未分配利润,8436.03107951
归属于母公司股东权益合计,13875.13198249
少数股东权益,12.69415802
所有者权益(或股东权益)合计,13887.82614051
负债和所有者权益(或股东权益)总计,20143.78885333
code,603288
date,20181231
code_date,603288_20181231
