,0,0,0,0,0,0
Unnamed: 0,0.0,0.0,0.0,0.0,0.0,0.0
index,0.0,0.0,0.0,0.0,0.0,0.0
流动资产,0.0,0.0,0.0,0.0,0.0,0.0
货币资金,1594144437.4,1753558881.1400003,1928914769.2540004,2121806246.1794007,2333986870.797341,2567385557.877075
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0
应收票据,355254470.07,390779917.077,429857908.78470004,472843699.6631701,520128069.62948716,572140876.592436
应收账款,1056177704.68,1161795475.148,1277975022.6628,1405772524.9290802,1546349777.4219885,1700984755.1641874
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,419984595.68,461983055.248,508181360.7728001,558999496.8500801,614899446.5350882,676389391.1885971
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0
应收利息,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,175756572.67,193332229.937,212665452.93070003,233931998.22377005,257325198.04614708,283057717.85076183
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0
存货,1611938179.51,1773131997.4610002,1950445197.2071004,2145489716.9278107,2360038688.620592,2596042557.4826517
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,6234788.66,6858267.526000001,7544094.278600001,8298503.706460002,9128354.077106003,10041189.484816603
流动资产合计,5219490748.67,0.0,0.0,0.0,0.0,0.0
非流动资产,0.0,0.0,0.0,0.0,0.0,0.0
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,142210.0,142210.0,142210.0,142210.0,142210.0,142210.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,708455.83,814724.2044999999,936932.8351749998,1077472.7604512498,1239093.6745189372,1424957.7256967777
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0
在建工程,4404456425.97,4844902068.567,5329392275.423701,5862331502.966072,6448564653.26268,7093421118.588948
工程物资,257407289.02,283148017.92200005,311462819.7142001,342609101.6856201,376870011.8541822,414557013.03960043
固定资产及清理(合计),5831067597.09,0.0,0.0,0.0,0.0,0.0
固定资产净额,5831067597.09,6414174356.799001,7055591792.478901,7761150971.726791,8537266068.899471,9390992675.78942
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,95236085.95,104759694.54500002,115235663.99950002,126759230.39945003,139435153.43939504,153378668.78333455
开发支出,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,41781339.21,45959473.131000005,50555420.44410001,55610962.48851001,61172058.73736102,67289264.61109713
递延所得税资产,0.0,0.0,0.0,0.0,0.0,0.0
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0
非流动资产合计,10630799403.07,0.0,0.0,0.0,0.0,0.0
资产总计,15850290151.74,17435340368.7055,19178900920.786278,21096823638.506664,23206545654.99536,25527247954.178616
流动负债,0.0,0.0,0.0,0.0,0.0,0.0
短期借款,3298879364.75,4953868908.938508,4698403624.089208,4332401897.498715,3936366527.8544216,3507235972.3986516
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0
应付票据,9095109.6,10004620.56,11005082.616000002,12105590.877600003,13316149.965360004,14647764.961896006
应付账款,1339044758.25,1472949234.075,1620244157.4825,1782268573.2307503,1960495430.5538256,2156544973.6092086
预收款项,225569740.76,248126714.836,272939386.31960005,300233324.9515601,330256657.4467161,363282323.1913878
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,23999167.21,26399083.931,29038992.324100003,31942891.556510005,35137180.71216101,38650898.78337712
应交税费,99047538.94,108952292.834,119847522.11740002,131832274.32914004,145015501.76205406,159517051.93825948
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0
应付利息,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,775471.21,853018.331,938320.1641,1032152.1805100001,1135367.3985610001,1248904.1384171003
其他应付款,271315156.35,298446671.9850001,328291339.1835001,361120473.10185015,397232520.4120352,436955772.4532388
预提费用,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,305329500.0,335862450.0,369448695.00000006,406393564.5000001,447032920.95000017,491736213.0450002
其他流动负债,10540646.33,11594710.963000001,12754182.059300002,14029600.265230004,15432560.291753005,16975816.320928305
流动负债合计,5583596453.4,0.0,0.0,0.0,0.0,0.0
非流动负债,0.0,0.0,0.0,0.0,0.0,0.0
长期借款,1648405988.04,1912102951.6032124,2202169611.522746,2521242937.434233,2872223595.936869,3258302320.2897687
应付债券,2009627777.77,2009627777.77,2009627777.77,2009627777.77,2009627777.77,2009627777.77
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,6080000.0,6080000.0,6080000.0,6080000.0,6080000.0,6080000.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,3664113765.81,0.0,0.0,0.0,0.0,0.0
负债合计,9247710219.21,11394868435.826721,11680788690.648455,11910311057.696098,12169352191.053757,12460805788.900133
所有者权益,0.0,0.0,0.0,0.0,0.0,0.0
实收资本(或股本),897727903.0,1462778530.0426683,2084334219.7896037,2768045478.5112324,3520127863.1050243,4347418486.1581955
资本公积,1986920344.63,1986920344.63,1986920344.63,1986920344.63,1986920344.63,1986920344.63
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,520328276.06,583963519.271378,667571980.0318218,768040889.2269332,877900739.0806577,998096546.9090282
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,1434092349.94,2006809538.842402,2759285685.6863966,3663505868.4423995,4652244517.12592,5734006787.581255
归属于母公司股东权益合计,4839068873.63,4839068873.63,4839068873.63,4839068873.63,4839068873.63,4839068873.63
少数股东权益,1763511058.9,1763511058.9,1763511058.9,1763511058.9,1763511058.9,1763511058.9
所有者权益(或股东权益)合计,6602579932.53,6040471932.7864485,7498112230.137822,9186512580.810566,11037193463.941603,13066442165.278479
负债和所有者权益(或股东权益)总计,15850290151.74,0.0,0.0,0.0,0.0,0.0
code,0.0,0.0,0.0,0.0,0.0,0.0
date,20181231,,,,,
code_date,0.0,0.0,0.0,0.0,0.0,0.0
