,0,0,0,0,0,0
Unnamed: 0,0.0,0.0,0.0,0.0,0.0,0.0
index,3.0,0.0,0.0,0.0,0.0,0.0
一、营业总收入,7064613089.05,0.0,0.0,0.0,0.0,0.0
营业收入,7064613089.05,7771074397.955001,8548181837.750502,9403000021.525553,10343300023.678108,11377630026.04592
二、营业总成本,0.0,0.0,0.0,0.0,0.0,0.0
营业成本,5389608600.75,5928569460.825001,6521426406.907501,7173569047.598252,7890925952.358078,8680018547.593887
营业税金及附加,21730971.27,23904068.397,26294475.236700002,28923922.760370005,31816315.03640701,34997946.54004771
销售费用,396042235.97,435646459.5670001,479211105.5237001,527132216.0760702,579845437.6836772,637829981.452045
管理费用,336263238.52,369889562.37200004,406878518.60920006,447566370.47012013,492323007.51713216,541555308.2688454
财务费用,195735144.48,271646347.0943423,110093846.36748531,271158638.79241854,269376087.399897,267672778.25556058
研发费用,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,6864868.23,7894598.4645,9078788.234174998,10440606.469301248,12006697.439696435,13807702.0556509
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,23402883.4,0.0,0.0,0.0,0.0,0.0
三、营业利润,755500649.69,749313098.1641574,1013356273.3400898,965090432.2976227,1091019921.1226127,1229363165.9911838
加:营业外收入,106898843.71,106898843.71,106898843.71,106898843.71,106898843.71,106898843.71
减：营业外支出,14962822.68,14962822.68,14962822.68,14962822.68,14962822.68,14962822.68
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,847436670.72,841249119.1941575,1105292294.3700898,1057026453.3276228,1182955942.1526127,1321299187.0211837
减：所得税费用,206403742.22,204896687.0803777,269207686.7656515,257451940.81227344,288123634.2229987,321818852.3299403
五、净利润,641032928.5,636352432.1137798,836084607.6044382,799574512.5153494,894832307.929614,999480334.6912434
归属于母公司所有者的净利润,503721298.14,0.0,0.0,0.0,0.0,0.0
少数股东损益,137311630.36,0.0,0.0,0.0,0.0,0.0
六、每股收益,0.0,0.0,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0
code,0.0,0.0,0.0,0.0,0.0,0.0
date,20181231,,,,,
code_date,0.0,0.0,0.0,0.0,0.0,0.0
