,0
Unnamed: 0,0
index,3
流动资产,
货币资金,112074.79142006
交易性金融资产,0.0
衍生金融资产,0.0
应收票据及应收账款,563.73971
应收票据,563.73971
应收账款,0.0
应收款项融资,0.0
预付款项,1182.37850806
其他应收款(合计),393.89049312
应收利息,343.88994447
应收股利,0.0
其他应收款,50.00054865
买入返售金融资产,0.0
存货,23506.95084222
划分为持有待售的资产,0.0
一年内到期的非流动资产,0.0
待摊费用,0.0
待处理流动资产损益,0.0
其他流动资产,140.08433411
流动资产合计,137861.83530757
非流动资产,
发放贷款及垫款,36.075
可供出售金融资产,29.0
持有至到期投资,0.0
长期应收款,0.0
长期股权投资,0.0
投资性房地产,0.0
在建工程(合计),1954.32296868
在建工程,1954.32296868
工程物资,0.0
固定资产及清理(合计),15248.55658502
固定资产净额,15248.55658502
固定资产清理,0.0
生产性生物资产,0.0
公益性生物资产,0.0
油气资产,0.0
使用权资产,0.0
无形资产,3499.17537452
开发支出,0.0
商誉,0.0
长期待摊费用,168.41467877
递延所得税资产,1049.29482145
其他非流动资产,0.0
非流动资产合计,21984.83942844
资产总计,159846.67473601
流动负债,
短期借款,0.0
交易性金融负债,0.0
应付票据及应付账款,1178.29641659
应付票据,0.0
应付账款,1178.29641659
预收款项,13576.51681344
应付手续费及佣金,0.0
应付职工薪酬,2034.51465891
应交税费,10771.07596685
其他应付款(合计),3404.77107233
应付利息,42.77045184
应付股利,0.0
其他应付款,3362.00062049
预提费用,0.0
一年内的递延收益,0.0
应付短期债券,0.0
一年内到期的非流动负债,0.0
其他流动负债,0.0
流动负债合计,42438.18681348
非流动负债,
长期借款,0.0
应付债券,0.0
租赁负债,0.0
长期应付职工薪酬,0.0
长期应付款(合计),0.0
长期应付款,0.0
专项应付款,0.0
预计非流动负债,0.0
递延所得税负债,0.0
长期递延收益,0.0
其他非流动负债,0.0
非流动负债合计,0.0
负债合计,42438.18681348
所有者权益,
实收资本(或股本),1256.1978
资本公积,1374.96441572
减：库存股,0.0
其他综合收益,-7.0657257
专项储备,0.0
盈余公积,13444.22124484
一般风险准备,788.30264363
未分配利润,95981.94395356
归属于母公司股东权益合计,112838.56433205
少数股东权益,4569.92359048
所有者权益(或股东权益)合计,117408.48792253
负债和所有者权益(或股东权益)总计,159846.67473601
code,600519
date,20181231
code_date,600519_20181231
