,E
Unnamed: 0,
index,
流动资产,
货币资金,1594144437.40
交易性金融资产,
衍生金融资产,
应收票据及应收账款,
应收票据,355254470.07
应收账款,1056177704.68
应收款项融资,
预付款项,419984595.68
其他应收款(合计),
应收利息,
应收股利,
其他应收款,175756572.67
买入返售金融资产,
存货,1611938179.51
划分为持有待售的资产,
一年内到期的非流动资产,
待摊费用,
待处理流动资产损益,
其他流动资产,6234788.66
流动资产合计,5219490748.67
非流动资产,
发放贷款及垫款,
可供出售金融资产,
持有至到期投资,142210.00
长期应收款,
长期股权投资,708455.83
投资性房地产,
在建工程(合计),
在建工程,4404456425.97
工程物资,257407289.02
固定资产及清理(合计),5831067597.09
固定资产净额,5831067597.09
固定资产清理,
生产性生物资产,
公益性生物资产,
油气资产,
使用权资产,
无形资产,95236085.95
开发支出,
商誉,
长期待摊费用,41781339.21
递延所得税资产,
其他非流动资产,
非流动资产合计,10630799403.07
资产总计,15850290151.74
流动负债,
短期借款,3298879364.75
交易性金融负债,
应付票据及应付账款,
应付票据,9095109.60
应付账款,1339044758.25
预收款项,225569740.76
应付手续费及佣金,
应付职工薪酬,23999167.21
应交税费,99047538.94
其他应付款(合计),
应付利息,
应付股利,775471.21
其他应付款,271315156.35
预提费用,
一年内的递延收益,
应付短期债券,
一年内到期的非流动负债,305329500.00
其他流动负债,10540646.33
流动负债合计,5583596453.40
非流动负债,
长期借款,1648405988.04
应付债券,2009627777.77
租赁负债,
长期应付职工薪酬,
长期应付款(合计),
长期应付款,
专项应付款,6080000.00
预计非流动负债,
递延所得税负债,
长期递延收益,
其他非流动负债,
非流动负债合计,3664113765.81
负债合计,9247710219.21
所有者权益,
实收资本(或股本),897727903.00
资本公积,1986920344.63
减：库存股,
其他综合收益,
专项储备,
盈余公积,520328276.06
一般风险准备,
未分配利润,1434092349.94
归属于母公司股东权益合计,4839068873.63
少数股东权益,1763511058.90
所有者权益(或股东权益)合计,6602579932.53
负债和所有者权益(或股东权益)总计,15850290151.74
code,
date,20181231
code_date,
