,0
Unnamed: 0,0
index,3
一、营业总收入,77199.38411022
营业收入,73638.87238803
二、营业总成本,25866.03056404
营业成本,6522.92183377
营业税金及附加,11288.92684697
销售费用,2572.07687216
管理费用,5325.94076224
财务费用,-3.52120923
研发费用,21.95360593
资产减值损失,1.28968501
公允价值变动收益,0.0
投资收益,0.0
其中:对联营企业和合营企业的投资收益,0.0
汇兑收益,0.0
三、营业利润,51342.98768118
加:营业外收入,11.61952611
减：营业外支出,527.00375982
其中：非流动资产处置损失,0.0
四、利润总额,50827.60344747
减：所得税费用,12997.98569066
五、净利润,37829.61775681
归属于母公司所有者的净利润,35203.62526322
少数股东损益,2625.99249359
六、每股收益,
基本每股收益(元/股),2.802e-05
稀释每股收益(元/股),2.802e-05
七、其他综合收益,0.3358507
八、综合收益总额,37829.95360751
归属于母公司所有者的综合收益总额,35203.96111392
归属于少数股东的综合收益总额,2625.99249359
code,600519
date,20181231
code_date,600519_20181231
