,0
Unnamed: 0,0
index,3
一、营业总收入,7064613089.05
营业收入,7064613089.05
二、营业总成本,
营业成本,5389608600.75
营业税金及附加,21730971.27
销售费用,396042235.97
管理费用,336263238.52
财务费用,195735144.48
研发费用,
资产减值损失,0
公允价值变动收益,0
投资收益,6864868.23
其中:对联营企业和合营企业的投资收益,0
汇兑收益,23402883.40
三、营业利润,755500649.69
加:营业外收入,106898843.71
减：营业外支出,14962822.68
其中：非流动资产处置损失,0
四、利润总额,847436670.72
减：所得税费用,206403742.22
五、净利润,641032928.50
归属于母公司所有者的净利润,503721298.14
少数股东损益,137311630.36
六、每股收益,
基本每股收益(元/股),
稀释每股收益(元/股),
七、其他综合收益,
八、综合收益总额,
归属于母公司所有者的综合收益总额,
归属于少数股东的综合收益总额,
code,
date,20181231
code_date,
