,0
index,0
一、营业总收入,0.0
营业收入,19759.9911475868
二、营业总成本,0.0
营业成本,10578.099190449999
营业税金及附加,220.38646861159998
销售费用,2593.7827165119998
管理费用,284.84247502479997
财务费用,-0.0
研发费用,571.896651452
资产减值损失,0.0
公允价值变动收益,0.0
投资收益,338.75062832399993
其中:对联营企业和合营企业的投资收益,0.0
汇兑收益,0.0
三、营业利润,5849.734273860402
加:营业外收入,0.01595
减：营业外支出,18.21544589
其中：非流动资产处置损失,0.0
四、利润总额,5831.534777970402
减：所得税费用,955.9166373511114
五、净利润,4875.618140619291
归属于母公司所有者的净利润,0.0
少数股东损益,0.0
六、每股收益,
基本每股收益(元/股),0.0
稀释每股收益(元/股),0.0
七、其他综合收益,-0.0
八、综合收益总额,0.0
归属于母公司所有者的综合收益总额,0.0
归属于少数股东的综合收益总额,0.0
code,
date,
code_date,
